Object,Star,Star type,Mass (M⊕),Radius (R⊕),Density (g/cm3),Flux (F⊕),Teq (K),Period (days),Distance (ly),Note,index,Discovery Year,Discovery Method
HD 15337 b,,,7.51,1.64,,,,,146.1,,7195.0,2019,Transit
HD 15337 c,,,8.11,2.39,,,,,146.1,,7199.0,2019,Transit
PDS 70 c,,,635.66,22.87,,,,,368.59,,7279.0,2019,Imaging
TOI-150.01,,,797.75,14.07,,,,,1096.23,,7299.0,2019,Transit
EPIC 248847494 b,,,4131.79,12.44,,,,,1799.15,,7347.0,2018,Transit
TOI-270 d,,,4.78,2.13,,,,,73.28,,7393.0,2019,Transit
GJ 357 b,,,1.84,1.22,,,,,30.78,,7398.0,2019,Transit
LTT 1445 A b,,,2.87,1.3,,,,,22.39,,7417.0,2019,Transit
K2-146 c,,,7.49,2.19,,,,,258.52,,7423.0,2019,Transit
HAT-P-70 b,,,2154.89,20.96,,,,,1078.21,,7430.0,2019,Transit
HATS-56 b,,,191.33,18.92,,,,,1839.97,,7442.0,2019,Transit
HATS-58 A b,,,327.36,12.27,,,,,1315.71,,7451.0,2019,Transit
KELT-24 b,,,1646.36,14.26,,,,,314.65,,7515.0,2019,Transit
WASP-178 b,,,527.6,20.29,,,,,1394.23,,7531.0,2019,Transit
WASP-185 b,,,311.47,14.01,,,,,910.68,,7538.0,2019,Transit
WASP-192 b,,,731.01,13.79,,,,,1658.97,,7539.0,2019,Transit
TOI-163 b,,,387.75,16.69,,,,,1342.2,,7603.0,2019,Transit
NGTS-8 b,,,295.58,12.22,,,,,1398.46,,7645.0,2019,Transit
XO-7 b,,,225.66,15.36,,,,,763.33,,7674.0,2019,Transit
GJ 1252 b,,,1.32,1.19,,,,,66.42,,7708.0,2020,Transit
EPIC 249893012 b,,,8.75,1.95,,,,,1047.42,,7714.0,2020,Transit
EPIC 249893012 c,,,14.67,3.67,,,,,1047.42,,7715.0,2020,Transit
EPIC 249893012 d,,,10.18,3.94,,,,,1047.42,,7716.0,2020,Transit
Kepler-1661 b,,,17.0,3.87,,,,,1338.58,,7724.0,2020,Transit
TOI-132 b,,,22.4,3.42,,,,,533.59,,7725.0,2020,Transit
HATS-48 A b,,,77.23,8.97,,,,,859.37,,7756.0,2020,Transit
LHS 1815 b,,,1.58,1.09,,,,,97.29,,7798.0,2020,Transit
TOI-1130 b,,,19.8,3.66,,,,,189.93,,7804.0,2020,Transit
TOI-1130 c,,,308.29,16.81,,,,,189.93,,7809.0,2020,Transit
CoRoT-30 b,,,921.71,11.31,,,,,3365.07,,7829.0,2020,Transit
CoRoT-31 b,,,266.98,16.36,,,,,6538.78,,7830.0,2020,Transit
TOI-677 b,,,392.84,13.12,,,,,462.31,,7831.0,2020,Transit
WASP-176 b,,,271.74,16.87,,,,,1853.05,,7840.0,2020,Transit
